iter	MultiClass
0	1.815741912
1	1.703170198
2	1.600991858
3	1.516856924
4	1.444921276
5	1.383738811
6	1.320329095
7	1.265928013
8	1.212928125
9	1.166521333
10	1.122124181
11	1.082563661
12	1.044439901
13	1.009874243
14	0.9839515687
15	0.9558650537
16	0.9293176999
17	0.9021459357
18	0.8769515693
19	0.8537520455
20	0.8329876655
21	0.8110246497
22	0.7905385479
23	0.7714200542
24	0.7550034779
25	0.7378452589
26	0.7218114035
27	0.7064363207
28	0.691546128
29	0.6775866223
30	0.6630557569
31	0.6513621078
32	0.6385995896
33	0.6270465092
34	0.6163875279
35	0.6050023248
36	0.5941166495
37	0.5838448556
38	0.5739753132
39	0.5641786518
40	0.5550107956
41	0.5466448188
42	0.5384256791
43	0.5302315016
44	0.523758222
45	0.5165736869
46	0.5093696894
47	0.5021864382
48	0.4953208302
49	0.4886767831
50	0.4829182728
51	0.4770956384
52	0.4715996525
53	0.4662062081
54	0.4607521087
55	0.4553416759
56	0.4501502319
57	0.4455681191
58	0.4405635579
59	0.4362503108
60	0.4318834156
61	0.4274249929
62	0.4231189365
63	0.4189914844
64	0.4150455127
65	0.4117132135
66	0.4080325873
67	0.4044896007
68	0.4008042813
69	0.3978557015
70	0.3947279551
71	0.391812629
72	0.3886672448
73	0.3856828207
74	0.3826774918
75	0.3797709447
76	0.3769520948
77	0.3741723343
78	0.3717654802
79	0.368864291
80	0.3660895189
81	0.3632346907
82	0.3604522477
83	0.3576605289
84	0.3554714731
85	0.3534004598
86	0.3509747248
87	0.3489137314
88	0.3469982339
89	0.3452116768
90	0.343264826
91	0.3406950219
92	0.3384764755
93	0.3367089631
94	0.3351250964
95	0.3330705196
96	0.3311067526
97	0.329204379
98	0.3278160529
99	0.3261409706
100	0.3242973837
101	0.3225299494
102	0.3209884751
103	0.3195592171
104	0.3182432183
105	0.3162019984
106	0.3147980594
107	0.3130822002
108	0.3115804514
109	0.3101092982
110	0.3081909356
111	0.3067107993
112	0.3050490565
113	0.303501562
114	0.302400071
115	0.3013208786
116	0.2996484394
117	0.2984204196
118	0.2973138148
119	0.2959509804
120	0.2941351454
121	0.2931137645
122	0.2922077913
123	0.2912483598
124	0.2902879833
125	0.2892273945
126	0.2881234491
127	0.2870034933
128	0.2856314874
129	0.2849192022
130	0.2840380797
131	0.2828387168
132	0.2818416831
133	0.2808174435
134	0.279568694
135	0.2784730307
136	0.277654905
137	0.2767069485
138	0.2757281791
139	0.274575776
140	0.273631262
141	0.2726976617
142	0.2715032297
143	0.2705158312
144	0.2694729608
145	0.2682921671
146	0.2671231874
147	0.2661557072
148	0.2655336742
149	0.2644005176
150	0.2631695181
151	0.2624314761
152	0.2616185839
153	0.2610547154
154	0.2603349723
155	0.2596863016
156	0.2584833023
157	0.2571393034
158	0.2565332419
159	0.2553976464
160	0.2543687557
161	0.2533501174
162	0.2524831138
163	0.2513609225
164	0.2506332056
165	0.2496876863
166	0.2490339935
167	0.2481404782
168	0.247587012
169	0.2464008043
170	0.2454268967
171	0.2446908486
172	0.2439754676
173	0.2430602107
174	0.2425272945
175	0.2418098237
176	0.2406855975
177	0.2398422875
178	0.2390125503
179	0.2381676802
180	0.2375779478
181	0.236843427
182	0.2362269114
183	0.2354408782
184	0.2349951391
185	0.2342893332
186	0.2336344494
187	0.2328789411
188	0.2322347959
189	0.2313732638
190	0.2306339453
191	0.2296766637
192	0.2287122324
193	0.228248079
194	0.2276012277
195	0.2271053252
196	0.2261748
197	0.2257188703
198	0.2249893108
199	0.2245586821
200	0.2236826525
201	0.2229664519
202	0.2221072465
203	0.2213636448
204	0.2207000946
205	0.2200103482
206	0.2193531597
207	0.2187546087
208	0.2181470072
209	0.217621476
210	0.2167626578
211	0.215949096
212	0.2155258861
213	0.2148027068
214	0.2142737419
215	0.2138443024
216	0.2130484481
217	0.2124077104
218	0.21176562
219	0.2111904728
220	0.2106732747
221	0.21028954
222	0.2097585961
223	0.2091162897
224	0.2081221843
225	0.2074637132
226	0.2068307033
227	0.206364922
228	0.2056525077
229	0.2052773964
230	0.2047023989
231	0.2041099228
232	0.203377591
233	0.2029281555
234	0.2022421816
235	0.2017292828
236	0.2015047589
237	0.2009467141
238	0.2004067077
239	0.1999761041
240	0.1994387949
241	0.1988837294
242	0.198234801
243	0.1976148083
244	0.1971426145
245	0.1965586044
246	0.196247275
247	0.1957957763
248	0.19525127
249	0.1947202771
250	0.1940986438
251	0.1935041937
252	0.192825353
253	0.1922799534
254	0.1917907883
255	0.1912677157
256	0.1908381984
257	0.1903638924
258	0.1900044137
259	0.1897020263
260	0.1891264762
261	0.1888388187
262	0.1883704236
263	0.1879754794
264	0.1870423792
265	0.1866221206
266	0.1860945296
267	0.1853945142
268	0.184872404
269	0.1844687808
270	0.1839596643
271	0.1832795104
272	0.1829676799
273	0.1825506988
274	0.1820712567
275	0.1815998581
276	0.1811630253
277	0.1806765295
278	0.1802088245
279	0.1797345774
280	0.1794257331
281	0.178921291
282	0.1784984927
283	0.1782202178
284	0.177973529
285	0.1773670326
286	0.1770627457
287	0.1766791594
288	0.1763515784
289	0.1759806453
290	0.1757914429
291	0.1754069074
292	0.1749004888
293	0.1745709431
294	0.1741138729
295	0.1737369067
296	0.1732913105
297	0.1730051625
298	0.1727525525
299	0.1723715213
300	0.1719430396
301	0.1715970582
302	0.1713686577
303	0.170800628
304	0.1703641493
305	0.1700751893
306	0.169813563
307	0.1693855386
308	0.1689364791
309	0.1685434388
310	0.1682406539
311	0.1678972761
312	0.1675245099
313	0.1669665899
314	0.1663084358
315	0.1659817808
316	0.1656266237
317	0.165387017
318	0.1650784063
319	0.1645629816
320	0.1641157942
321	0.1634365226
322	0.1630929432
323	0.1626849906
324	0.1623694241
325	0.1620548134
326	0.1614611314
327	0.1611488626
328	0.1608996235
329	0.1606870422
330	0.1602722877
331	0.1600270551
332	0.1596629505
333	0.1594109925
334	0.1590791569
335	0.1587087208
336	0.1584389093
337	0.1581251132
338	0.1579184409
339	0.1576292088
340	0.1572900318
341	0.1567526601
342	0.1563977626
343	0.1561044384
344	0.155864258
345	0.1554908071
346	0.1550030055
347	0.1547297242
348	0.1543711121
349	0.1539058033
350	0.1537313059
351	0.1533168335
352	0.1529470028
353	0.1526871292
354	0.152338002
355	0.1519598012
356	0.1514927181
357	0.15131266
358	0.1508310664
359	0.1504580642
360	0.149835699
361	0.1495011446
362	0.1492314053
363	0.1490626283
364	0.1488564606
365	0.1483554162
366	0.148097153
367	0.1477656529
368	0.1475314927
369	0.1470728867
370	0.1468763749
371	0.1465646738
372	0.1462134778
373	0.1459103532
374	0.1454919616
375	0.1451691801
376	0.1448384584
377	0.1445163796
378	0.14417735
379	0.1438625057
380	0.1435133128
381	0.1432916117
382	0.1430545607
383	0.1426904453
384	0.142341356
385	0.1421116496
386	0.1417383529
387	0.1414679691
388	0.141138149
389	0.1408705704
390	0.140607596
391	0.1403042254
392	0.1398977644
393	0.1396886289
394	0.1394823927
395	0.1390901253
396	0.1387892245
397	0.1384814938
398	0.1382219973
399	0.1378940313
400	0.1376219685
401	0.1374247732
402	0.1371817605
403	0.1369071351
404	0.1367240506
405	0.1365322046
406	0.1362220994
407	0.1359284976
408	0.1356243039
409	0.1353849627
410	0.1352537366
411	0.1350364332
412	0.1348969252
413	0.1346742546
414	0.1344129758
415	0.1341735695
416	0.1339743305
417	0.1337335365
418	0.1335208703
419	0.1333239835
420	0.1329743967
421	0.1327519558
422	0.1324131517
423	0.1319865893
424	0.1317509392
425	0.1314460495
426	0.1312024346
427	0.1309782068
428	0.1307486733
429	0.1303791357
430	0.1302656513
431	0.1299582088
432	0.1296594541
433	0.1295284223
434	0.1291439975
435	0.1288981716
436	0.1285605196
437	0.1282948995
438	0.1279738455
439	0.1275179515
440	0.1272457911
441	0.1270683935
442	0.1268588044
443	0.1263830537
444	0.1262047152
445	0.1259066482
446	0.1256909623
447	0.1255306892
448	0.1253005019
449	0.1250910329
450	0.1248200386
451	0.1246521968
452	0.1243998877
453	0.124243711
454	0.123971661
455	0.1237209315
456	0.1235528568
457	0.1233617228
458	0.1232076827
459	0.1230268043
460	0.1228154743
461	0.1225660885
462	0.1222461893
463	0.1221064903
464	0.1218193075
465	0.1215953166
466	0.1214061918
467	0.1210523327
468	0.1207876857
469	0.1206148799
470	0.1203599462
471	0.1201793637
472	0.1199432231
473	0.1197615546
474	0.11958997
475	0.1192733591
476	0.1189810111
477	0.1186193666
478	0.1184522929
479	0.1181096002
480	0.1178477788
481	0.1175526918
482	0.1172814458
483	0.1170764415
484	0.1168963459
485	0.116716759
486	0.1164277459
487	0.1162485007
488	0.1159872061
489	0.1156753052
490	0.1154006954
491	0.1151214255
492	0.1148728341
493	0.1146602344
494	0.1145530757
495	0.1143625615
496	0.1141782235
497	0.1140206765
498	0.1138400151
499	0.1136813281
500	0.1135167787
501	0.1132235454
502	0.1130933637
503	0.1128928025
504	0.1126022466
505	0.1123863514
506	0.1121898215
507	0.1119996
508	0.1117794614
509	0.11159103
510	0.111472048
511	0.1112290119
512	0.1109874088
513	0.1108378611
514	0.1106605325
515	0.1104070451
516	0.110098867
517	0.1097679493
518	0.1096162372
519	0.1094226134
520	0.1092210251
521	0.10905773
522	0.1089291331
523	0.1086313521
524	0.1084583779
525	0.1083276866
526	0.1080992379
527	0.1079023109
528	0.1077399494
529	0.1075085412
530	0.1072868717
531	0.106984338
532	0.1068800445
533	0.1066837518
534	0.1065188621
535	0.1062756166
536	0.1059943175
537	0.1058928613
538	0.105682293
539	0.1054362683
540	0.105243066
541	0.1050749209
542	0.1049438421
543	0.104800918
544	0.1045875935
545	0.1044252341
546	0.1041630921
547	0.1040344212
548	0.1038519641
549	0.1036133365
550	0.1033901143
551	0.1032488771
552	0.103042523
553	0.1029016109
554	0.1027529661
555	0.1026721306
556	0.1024195466
557	0.1020720758
558	0.1017943359
559	0.1016557381
560	0.1014176718
561	0.1012450197
562	0.1011506004
563	0.1009814192
564	0.1007847002
565	0.1005582452
566	0.100439591
567	0.1003277994
568	0.1001564625
569	0.09996562526
570	0.09982022363
571	0.09970168448
572	0.09955125955
573	0.09918093162
574	0.09906444945
575	0.09883759671
576	0.09867183855
577	0.09849887618
578	0.09824193904
579	0.0981433074
580	0.09796860388
581	0.09774412586
582	0.09762360177
583	0.09745518007
584	0.09736403118
585	0.09720355364
586	0.09705132632
587	0.09691531034
588	0.09680027811
589	0.09663711175
590	0.09653259332
591	0.09634216831
592	0.09621985883
593	0.09606940053
594	0.09585076734
595	0.09568483681
596	0.09557971137
597	0.09547459419
598	0.09530125317
599	0.09511408012
600	0.09487210111
601	0.09468151321
602	0.09452232475
603	0.09432081323
604	0.09403589704
605	0.09389809522
606	0.09377600488
607	0.09359553771
608	0.09350435602
