iter	Passed	Remaining
0	23	14202
1	43	13268
2	63	12770
3	84	12711
4	104	12571
5	122	12350
6	145	12474
7	164	12344
8	185	12387
9	209	12527
10	230	12543
11	251	12489
12	271	12429
13	295	12571
14	317	12567
15	338	12541
16	355	12389
17	376	12361
18	397	12335
19	416	12276
20	437	12259
21	460	12285
22	483	12306
23	501	12230
24	520	12151
25	540	12125
26	564	12172
27	584	12128
28	605	12114
29	627	12101
30	646	12049
31	664	11973
32	684	11946
33	703	11897
34	724	11876
35	744	11852
36	766	11845
37	788	11847
38	809	11836
39	829	11796
40	848	11755
41	870	11754
42	890	11719
43	913	11731
44	935	11720
45	955	11696
46	975	11666
47	995	11638
48	1018	11644
49	1041	11642
50	1059	11597
51	1080	11568
52	1098	11525
53	1117	11485
54	1138	11463
55	1160	11460
56	1182	11449
57	1202	11426
58	1220	11379
59	1239	11340
60	1258	11305
61	1277	11273
62	1302	11286
63	1323	11269
64	1342	11237
65	1361	11205
66	1381	11177
67	1399	11132
68	1421	11122
69	1440	11091
70	1463	11090
71	1485	11075
72	1504	11045
73	1525	11027
74	1548	11024
75	1567	10994
76	1587	10966
77	1608	10953
78	1628	10923
79	1650	10913
80	1672	10899
81	1692	10878
82	1713	10858
83	1732	10826
84	1754	10817
85	1775	10797
86	1797	10783
87	1820	10778
88	1840	10751
89	1859	10725
90	1880	10706
91	1901	10682
92	1920	10653
93	1939	10624
94	1958	10595
95	1979	10577
96	1998	10550
97	2017	10521
98	2039	10505
99	2063	10505
100	2086	10496
101	2110	10492
102	2134	10487
103	2155	10466
104	2174	10436
105	2191	10401
106	2213	10384
107	2233	10358
108	2256	10351
109	2279	10340
110	2300	10321
111	2323	10312
112	2344	10289
113	2363	10264
114	2383	10239
115	2404	10217
116	2424	10193
117	2444	10170
118	2463	10143
119	2483	10119
120	2504	10098
121	2525	10082
122	2547	10064
123	2565	10035
124	2585	10012
125	2605	9988
126	2626	9967
127	2647	9947
128	2666	9920
129	2686	9898
130	2707	9878
131	2726	9853
132	2748	9836
133	2766	9807
134	2784	9776
135	2804	9752
136	2827	9740
137	2845	9713
138	2870	9707
139	2895	9700
140	2916	9681
141	2936	9658
142	2957	9636
143	2978	9619
144	2998	9595
145	3018	9572
146	3041	9558
147	3063	9542
148	3083	9518
149	3103	9495
150	3125	9480
151	3146	9458
152	3168	9443
153	3185	9412
154	3208	9396
155	3229	9377
156	3250	9359
157	3275	9348
158	3295	9326
159	3318	9312
160	3340	9295
161	3359	9269
162	3382	9254
163	3404	9237
164	3426	9221
165	3449	9206
166	3469	9184
167	3493	9170
168	3513	9147
169	3535	9129
170	3556	9109
171	3577	9090
172	3599	9070
173	3620	9051
174	3642	9032
175	3663	9013
176	3685	8994
177	3705	8972
178	3728	8956
179	3748	8932
180	3766	8905
181	3786	8882
182	3806	8860
183	3825	8835
184	3846	8814
185	3867	8795
186	3889	8776
187	3908	8753
188	3928	8729
189	3949	8710
190	3970	8688
191	3989	8665
192	4008	8640
193	4029	8620
194	4048	8596
195	4073	8583
196	4094	8562
197	4114	8540
198	4136	8523
199	4156	8500
200	4177	8479
201	4195	8453
202	4215	8431
203	4238	8415
204	4260	8396
205	4281	8376
206	4301	8353
207	4322	8334
208	4342	8311
209	4362	8288
210	4382	8266
211	4407	8253
212	4428	8233
213	4449	8213
214	4471	8194
215	4494	8176
216	4514	8155
217	4534	8132
218	4554	8110
219	4576	8092
220	4595	8068
221	4616	8047
222	4641	8033
223	4662	8013
224	4684	7995
225	4703	7971
226	4722	7946
227	4746	7932
228	4766	7909
229	4785	7885
230	4803	7860
231	4825	7841
232	4845	7819
233	4868	7802
234	4888	7779
235	4910	7761
236	4931	7740
237	4951	7718
238	4972	7697
239	4995	7681
240	5014	7656
241	5035	7636
242	5057	7616
243	5077	7595
244	5095	7570
245	5113	7546
246	5133	7524
247	5155	7504
248	5175	7482
249	5196	7461
250	5216	7440
251	5240	7424
252	5261	7403
253	5282	7382
254	5306	7366
255	5325	7343
256	5343	7318
257	5365	7299
258	5389	7282
259	5406	7256
260	5428	7238
261	5449	7217
262	5467	7192
263	5486	7170
264	5508	7150
265	5529	7129
266	5548	7106
267	5568	7085
268	5589	7064
269	5608	7042
270	5628	7020
271	5649	6999
272	5670	6979
273	5690	6957
274	5711	6937
275	5733	6917
276	5751	6893
277	5773	6873
278	5794	6854
279	5817	6835
280	5834	6810
281	5854	6789
282	5873	6766
283	5894	6745
284	5917	6727
285	5936	6704
286	5955	6682
287	5976	6661
288	5996	6639
289	6014	6615
290	6033	6593
291	6053	6571
292	6073	6550
293	6093	6528
294	6112	6506
295	6132	6485
296	6154	6465
297	6174	6443
298	6191	6419
299	6210	6396
300	6231	6376
301	6251	6354
302	6270	6332
303	6289	6310
304	6312	6292
305	6334	6272
306	6351	6248
307	6371	6226
308	6395	6209
309	6413	6185
310	6431	6162
311	6449	6139
312	6470	6119
313	6494	6101
314	6516	6082
315	6537	6061
316	6556	6039
317	6576	6018
318	6596	5996
319	6617	5976
320	6636	5953
321	6661	5937
322	6681	5916
323	6703	5896
324	6723	5875
325	6744	5854
326	6765	5834
327	6784	5812
328	6804	5791
329	6828	5773
330	6848	5752
331	6868	5730
332	6888	5708
333	6906	5686
334	6927	5666
335	6948	5645
336	6966	5622
337	6986	5601
338	7005	5579
339	7025	5558
340	7044	5536
341	7063	5514
342	7086	5495
343	7105	5473
344	7125	5452
345	7144	5430
346	7163	5409
347	7183	5387
348	7204	5367
349	7224	5346
350	7246	5326
351	7265	5304
352	7285	5283
353	7305	5262
354	7326	5242
355	7347	5221
356	7369	5202
357	7389	5181
358	7412	5161
359	7431	5140
360	7451	5119
361	7470	5096
362	7492	5077
363	7512	5056
364	7531	5034
365	7552	5014
366	7573	4994
367	7595	4973
368	7615	4953
369	7635	4932
370	7655	4910
371	7677	4891
372	7697	4870
373	7719	4850
374	7740	4830
375	7761	4809
376	7781	4788
377	7799	4766
378	7822	4746
379	7840	4724
380	7859	4703
381	7881	4683
382	7900	4661
383	7921	4641
384	7943	4621
385	7962	4599
386	7980	4577
387	8000	4556
388	8019	4535
389	8039	4514
390	8060	4494
391	8079	4472
392	8101	4452
393	8125	4433
394	8145	4413
395	8165	4391
396	8186	4371
397	8206	4350
398	8229	4331
399	8246	4309
400	8269	4289
401	8289	4268
402	8308	4246
403	8329	4226
404	8351	4206
405	8372	4186
406	8392	4165
407	8415	4145
408	8433	4124
409	8453	4102
410	8475	4082
411	8495	4062
412	8514	4040
413	8535	4020
414	8555	3999
415	8573	3977
416	8594	3957
417	8613	3935
418	8633	3914
419	8656	3895
420	8674	3873
421	8694	3852
422	8714	3832
423	8735	3811
424	8754	3790
425	8771	3768
426	8794	3748
427	8815	3728
428	8836	3707
429	8856	3686
430	8876	3665
431	8896	3644
432	8919	3625
433	8939	3604
434	8959	3583
435	8979	3562
436	8999	3542
437	9025	3523
438	9049	3504
439	9070	3483
440	9090	3462
441	9110	3442
442	9130	3421
443	9150	3400
444	9171	3379
445	9191	3359
446	9212	3338
447	9231	3317
448	9253	3297
449	9273	3276
450	9292	3255
451	9311	3234
452	9335	3214
453	9351	3192
454	9373	3172
455	9393	3151
456	9413	3131
457	9433	3110
458	9453	3089
459	9473	3068
460	9494	3047
461	9512	3026
462	9532	3005
463	9552	2985
464	9573	2964
465	9596	2944
466	9617	2924
467	9639	2904
468	9660	2883
469	9678	2862
470	9701	2842
471	9720	2821
472	9743	2801
473	9760	2779
474	9782	2759
475	9801	2738
476	9821	2717
477	9845	2698
478	9866	2677
479	9886	2656
480	9908	2636
481	9931	2616
482	9950	2595
483	9974	2575
484	9993	2555
485	10013	2534
486	10033	2513
487	10055	2493
488	10078	2473
489	10099	2452
490	10118	2431
491	10139	2411
492	10161	2390
493	10181	2370
494	10205	2350
495	10225	2329
496	10245	2308
497	10267	2288
498	10285	2267
499	10306	2246
500	10326	2226
501	10348	2205
502	10368	2184
503	10390	2164
504	10413	2144
505	10435	2124
506	10454	2103
507	10475	2082
508	10496	2062
509	10514	2041
510	10536	2020
511	10559	2000
512	10580	1979
513	10599	1959
514	10617	1937
515	10641	1917
516	10663	1897
517	10684	1877
518	10706	1856
519	10726	1835
520	10749	1815
521	10773	1795
522	10795	1775
523	10815	1754
524	10834	1733
525	10853	1712
526	10875	1692
527	10897	1671
528	10916	1650
529	10937	1630
530	10960	1610
531	10982	1589
532	11003	1568
533	11021	1548
534	11041	1527
535	11061	1506
536	11083	1486
537	11104	1465
538	11125	1444
539	11143	1423
540	11165	1403
541	11187	1382
542	11211	1362
543	11232	1342
544	11253	1321
545	11271	1300
546	11290	1279
547	11311	1259
548	11330	1238
549	11350	1217
550	11370	1196
551	11395	1176
552	11417	1156
553	11442	1135
554	11462	1115
555	11484	1094
556	11504	1074
557	11523	1053
558	11542	1032
559	11564	1011
560	11585	991
561	11606	970
562	11629	950
563	11650	929
564	11672	908
565	11693	888
566	11717	867
567	11739	847
568	11760	826
569	11778	805
570	11796	785
571	11816	764
572	11834	743
573	11853	722
574	11876	702
575	11897	681
576	11919	661
577	11942	640
578	11963	619
579	11985	599
580	12007	578
581	12030	558
582	12051	537
583	12075	516
584	12093	496
585	12114	475
586	12135	454
587	12161	434
588	12181	413
589	12203	392
590	12221	372
591	12244	351
592	12262	330
593	12283	310
594	12304	289
595	12325	268
596	12344	248
597	12362	227
598	12380	206
599	12400	186
600	12420	165
601	12439	144
602	12460	123
603	12481	103
604	12501	82
605	12521	61
606	12541	41
607	12561	20
608	12584	0
