iter	MultiClass
0	1.811276088
1	1.716788125
2	1.628853062
3	1.552868991
4	1.478183528
5	1.413919401
6	1.361626858
7	1.302594121
8	1.251870995
9	1.204721635
10	1.162272023
11	1.123121817
12	1.088668213
13	1.058027187
14	1.025991273
15	0.9999355616
16	0.9750245272
17	0.9493938212
18	0.923848024
19	0.9027717084
20	0.8832081125
21	0.8615320793
22	0.8480906049
23	0.8286168877
24	0.8128270531
25	0.796284902
26	0.780924068
27	0.7644057296
28	0.7512668116
29	0.7379250426
30	0.7272813032
31	0.7155120118
32	0.7052593532
33	0.6930114636
34	0.6829876595
35	0.6738841121
36	0.6640252433
37	0.6550229574
38	0.646138854
39	0.6385565785
40	0.6323445251
41	0.6244656707
42	0.6171621213
43	0.6092674533
44	0.6017996003
45	0.5952862976
46	0.5889453057
47	0.5824973723
48	0.575904504
49	0.5704708201
50	0.5652066335
51	0.5612584628
52	0.55623478
53	0.5520312804
54	0.5472404747
55	0.5433694343
56	0.539473371
57	0.5353401178
58	0.5308200048
59	0.5277925923
60	0.5235226963
61	0.5197189898
62	0.5159665138
63	0.5122976268
64	0.5090842341
65	0.5052559078
66	0.5019924773
67	0.4989437581
68	0.4959824211
69	0.493498564
70	0.4910686943
71	0.4887186732
72	0.4857255538
73	0.4827864166
74	0.4799961083
75	0.4772799434
76	0.4747882167
77	0.472379467
78	0.470264515
79	0.4682339441
80	0.465933859
81	0.4639588891
82	0.4621522274
83	0.4601697614
84	0.45801769
85	0.4560263268
86	0.4544396414
87	0.4527967102
88	0.451309584
89	0.4489601398
90	0.4471058073
91	0.4457799213
92	0.4442454526
93	0.442088185
94	0.4404937616
95	0.438442355
96	0.4366861614
97	0.4348854876
98	0.4331546411
99	0.4319766438
100	0.4306685179
101	0.4293231618
102	0.4274548431
103	0.4260391111
104	0.4251823535
105	0.423743763
106	0.4226762283
107	0.4215549261
108	0.4202708547
109	0.418881419
110	0.4179756972
111	0.4166549131
112	0.4154528176
113	0.4142743873
114	0.4131684324
115	0.4118284918
116	0.4108832267
117	0.4098602533
118	0.4088470965
119	0.4073218007
120	0.406387465
121	0.4053176091
122	0.4043621512
123	0.4031795158
124	0.4024436075
125	0.4013266413
126	0.4003331014
127	0.3995933633
128	0.398759514
129	0.3980407261
130	0.397357486
131	0.39622858
132	0.3952209962
133	0.3943764978
134	0.3936507577
135	0.3928462119
136	0.3921939078
137	0.3915122722
138	0.3908970383
139	0.3901240752
140	0.3892359759
141	0.3885475691
142	0.3877276466
143	0.3871443027
144	0.3862255771
145	0.3855776885
146	0.3850042014
147	0.3844533554
148	0.3838091217
149	0.3831792029
150	0.382532551
151	0.3819756893
152	0.3811509598
153	0.3805617518
154	0.3798239295
155	0.3790344622
156	0.3782528861
157	0.3774705273
158	0.3768687707
159	0.376328186
160	0.3756185075
161	0.3750131502
162	0.3742982871
163	0.37371296
164	0.3730804118
165	0.3724987689
166	0.3720450205
167	0.3714699984
168	0.3709553432
169	0.3704452234
170	0.3698371944
171	0.3691224214
172	0.3683948749
173	0.3678186129
174	0.3672988758
175	0.3667041674
176	0.3661450237
