iter	Passed	Remaining
0	33	16134
1	64	15435
2	94	15165
3	126	15167
4	156	14972
5	185	14751
6	216	14695
7	243	14439
8	269	14186
9	297	14048
10	325	13955
11	354	13895
12	378	13698
13	404	13550
14	435	13583
15	463	13526
16	490	13442
17	518	13393
18	548	13386
19	576	13334
20	605	13325
21	634	13285
22	663	13279
23	692	13245
24	720	13197
25	748	13160
26	773	13069
27	800	13008
28	831	13023
29	862	13030
30	888	12950
31	915	12909
32	946	12907
33	973	12853
34	998	12784
35	1028	12771
36	1059	12771
37	1093	12800
38	1121	12771
39	1148	12723
40	1178	12709
41	1206	12665
42	1233	12623
43	1265	12621
44	1295	12607
45	1325	12596
46	1353	12552
47	1382	12530
48	1413	12518
49	1441	12483
50	1471	12467
51	1501	12447
52	1527	12392
53	1558	12379
54	1584	12329
55	1616	12327
56	1642	12278
57	1671	12244
58	1700	12223
59	1728	12188
60	1760	12179
61	1787	12139
62	1817	12115
63	1844	12073
64	1872	12042
65	1901	12013
66	1932	11998
67	1962	11975
68	1989	11939
69	2019	11916
70	2049	11892
71	2078	11862
72	2108	11839
73	2137	11815
74	2167	11793
75	2196	11761
76	2228	11747
77	2254	11704
78	2285	11689
79	2314	11661
80	2344	11635
81	2372	11602
82	2398	11560
83	2427	11530
84	2458	11509
85	2489	11493
86	2522	11481
87	2552	11456
88	2582	11433
89	2609	11394
90	2640	11372
91	2672	11356
92	2698	11316
93	2727	11288
94	2756	11256
95	2783	11221
96	2809	11180
97	2838	11150
98	2869	11128
99	2896	11093
100	2928	11075
101	2956	11044
102	2985	11013
103	3017	10995
104	3046	10968
105	3074	10935
106	3103	10905
107	3130	10868
108	3158	10836
109	3186	10805
110	3213	10770
111	3240	10734
112	3272	10714
113	3303	10691
114	3333	10668
115	3364	10644
116	3393	10614
117	3424	10594
118	3459	10583
119	3491	10562
120	3520	10533
121	3553	10515
122	3584	10491
123	3617	10472
124	3645	10442
125	3676	10415
126	3708	10394
127	3740	10372
128	3774	10356
129	3808	10340
130	3837	10312
131	3864	10276
132	3895	10250
133	3926	10227
134	3958	10203
135	3989	10178
136	4020	10153
137	4051	10127
138	4081	10101
139	4107	10062
140	4136	10032
141	4164	10000
142	4194	9971
143	4224	9944
144	4252	9911
145	4281	9881
146	4306	9842
147	4338	9821
148	4367	9791
149	4394	9755
150	4421	9722
151	4451	9692
152	4481	9666
153	4511	9639
154	4540	9607
155	4567	9573
156	4595	9541
157	4621	9505
158	4649	9473
159	4676	9440
160	4704	9409
161	4731	9374
162	4758	9341
163	4787	9311
164	4812	9275
165	4837	9238
166	4866	9208
167	4895	9179
168	4923	9147
169	4950	9114
170	4983	9092
171	5010	9060
172	5040	9032
173	5070	9004
174	5098	8972
175	5125	8940
176	5152	8907
177	5182	8879
178	5211	8850
179	5241	8822
180	5269	8792
181	5298	8762
182	5326	8732
183	5352	8697
184	5381	8668
185	5407	8635
186	5436	8605
187	5466	8577
188	5496	8549
189	5525	8521
190	5554	8491
191	5581	8459
192	5612	8433
193	5641	8403
194	5669	8373
195	5696	8341
196	5723	8309
197	5751	8278
198	5780	8249
199	5811	8223
200	5843	8198
201	5875	8173
202	5904	8144
203	5935	8117
204	5966	8090
205	5999	8066
206	6035	8047
207	6071	8027
208	6106	8005
209	6145	7988
210	6182	7970
211	6224	7957
212	6260	7935
213	6294	7912
214	6324	7883
215	6354	7854
216	6380	7820
217	6413	7796
218	6441	7765
219	6470	7735
220	6497	7703
221	6523	7669
222	6552	7640
223	6580	7608
224	6609	7578
225	6637	7547
226	6662	7514
227	6691	7484
228	6718	7451
229	6746	7421
230	6776	7392
231	6815	7373
232	6851	7350
233	6881	7322
234	6910	7292
235	6936	7260
236	6967	7232
237	6996	7202
238	7026	7173
239	7058	7146
240	7088	7117
241	7118	7088
242	7150	7061
243	7178	7030
244	7203	6997
245	7230	6965
246	7257	6934
247	7284	6902
248	7313	6872
249	7339	6840
250	7368	6810
251	7397	6780
252	7433	6757
253	7473	6737
254	7502	6707
255	7530	6677
256	7559	6647
257	7588	6618
258	7617	6588
259	7649	6560
260	7678	6531
261	7709	6503
262	7742	6476
263	7774	6449
264	7803	6419
265	7835	6392
266	7862	6360
267	7891	6330
268	7924	6304
269	7953	6274
270	7983	6245
271	8012	6215
272	8042	6186
273	8072	6157
274	8114	6137
275	8142	6106
276	8173	6078
277	8202	6048
278	8232	6019
279	8263	5991
280	8294	5962
281	8324	5933
282	8354	5904
283	8385	5875
284	8415	5846
285	8447	5818
286	8476	5788
287	8508	5761
288	8536	5730
289	8566	5700
290	8597	5672
291	8626	5642
292	8654	5612
293	8683	5582
294	8714	5553
295	8745	5524
296	8775	5495
297	8806	5466
298	8835	5437
299	8865	5407
300	8897	5379
301	8926	5350
302	8952	5318
303	8981	5288
304	9010	5258
